ID,Age,Height_cm,Weight_kg,Gender,Income
1,56,198,63,Male,68660
2,69,176,66,Female,33561
3,46,191,85,Female,56854
4,32,177,99,Male,94505
5,60,165,89,Female,82251
6,Unknown,164,53,Female,52662
7,38,196,51,Female,38392
8,56,193,55,Male,60535
9,36,152,91,Male,82256
10,40,186,53,Male,65222
11,28,-170,78,Male,93335
12,28,170,67,Male,40965
13,41,158,75,Male,54538
14,53,188,93,Male,38110
15,57,167,83,Male,57266
16,41,153,NA,Male,82992
17,20,174,85,Female,36910
18,39,163,63,Male,30206
19,19,199,80,Female,53419
20,41,158,97,Female,80636
21,61,175,64,Female,0
22,47,151,57,Male,84268
23,55,169,63,Male,48141
24,19,177,72,Male,86044
25,38,196,89,Male,97214
26,50,156,70,Female,63827
27,29,193,65,Male,85820
28,39,157,94,Male,92623
29,61,196,67,Male,52299
30,42,184,96,Male,73585
